Rated,Title,Writer,Actors,imdbVotes,Released,Awards,Genre,imdbRating,PreNomination,Language,Country,PostAwards,Error,Runtime,PostNomination,Win,Metascore,Response,Year,Total,imdbID
R,JFK,"Oliver Stone (screenplay), Zachary Sklar (screenplay), Jim Garrison (book), Jim Marrs (book)","Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed",108216,20 Dec 1991,Won 2 Oscars. Another 13 wins & 23 nominations.,"Drama, History, Thriller",8,"$58,100,000","English, Spanish","France, USA","$2,000,000",,189 min,"$10,300,000",0,72,True,1991,"$70,400,000",tt0102138
PG,Up,"Pete Docter (story), Bob Peterson (story), Tom McCarthy (story), Bob Peterson (screenplay), Pete Docter (screenplay)","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",592975,29 May 2009,Won 2 Oscars. Another 69 wins & 69 nominations.,"Animation, Adventure, Comedy",8.3,"$293,000,000",English,USA,$0,,96 min,$0,0,88,True,2009,"$293,000,000",tt1049413
R,The Godfather: Part III,"Mario Puzo, Francis Ford Coppola","Al Pacino, Diane Keaton, Talia Shire, Andy Garcia",244113,25 Dec 1990,Nominated for 7 Oscars. Another 4 wins & 12 nominations.,"Crime, Drama",7.6,"$62,500,000","English, Italian, German, Latin",USA,"$956,000",,162 min,"$3,200,000",0,60,True,1990,"$66,700,000",tt0099674
R,Platoon,Oliver Stone,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",270412,06 Feb 1987,Won 4 Oscars. Another 19 wins & 14 nominations.,"Drama, War",8.1,"$39,300,000","English, Vietnamese","UK, USA","$34,500,000",,120 min,"$64,800,000",1,N/A,True,1986,"$138,500,000",tt0091763
PG-13,Chocolat,"Joanne Harris (novel), Robert Nelson Jacobs (screenplay)","Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil",141795,19 Jan 2001,Nominated for 5 Oscars. Another 7 wins & 32 nominations.,"Drama, Romance",7.3,"$27,100,000","English, French","UK, USA","$10,900,000",,121 min,"$33,600,000",0,64,True,2000,"$71,500,000",tt0241303
PG,Life of Pi,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",399787,21 Nov 2012,Won 4 Oscars. Another 72 wins & 119 nominations.,"Adventure, Drama, Fantasy",8,"$91,800,000","English, Tamil, French, Japanese, Hindi, Chinese","USA, Taiwan, UK","$11,500,000",,127 min,"$21,700,000",0,79,True,2012,"$125,000,000",tt0454876
R,District 9,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",501824,14 Aug 2009,Nominated for 4 Oscars. Another 23 wins & 97 nominations.,"Action, Sci-Fi",8,"$115,600,000","English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho","USA, New Zealand, Canada, South Africa",$0,,112 min,$0,0,81,True,2009,"$115,600,000",tt1136608
PG,"Good Night, and Good Luck.","George Clooney, Grant Heslov","Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo",81616,04 Nov 2005,Nominated for 6 Oscars. Another 37 wins & 101 nominations.,Drama,7.5,"$25,200,000",English,"USA, France, UK, Japan","$384,000",,93 min,"$6,000,000",0,80,True,2005,"$31,600,000",tt0433383
R,The Verdict,"Barry Reed (based upon the novel by), David Mamet (screenplay)","Paul Newman, Charlotte Rampling, Jack Warden, James Mason",24381,17 Dec 1982,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,Drama,7.8,"$39,700,000",English,USA,"$2,100,000",,129 min,"$12,200,000",0,N/A,True,1982,"$54,000,000",tt0084855
PG,Driving Miss Daisy,"Alfred Uhry (screenplay), Alfred Uhry (play)","Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone",66984,26 Jan 1990,Won 4 Oscars. Another 17 wins & 21 nominations.,Drama,7.4,"$33,600,000","English, Hebrew",USA,"$31,400,000",,99 min,"$41,600,000",1,81,True,1989,"$106,600,000",tt0097239
R,Michael Clayton,Tony Gilroy,"Tom Wilkinson, Michael O'Keefe, Sydney Pollack, Danielle Skraastad",126908,12 Oct 2007,Won 1 Oscar. Another 24 wins & 99 nominations.,"Crime, Drama, Mystery",7.3,"$39,400,000",English,USA,"$516,000",,119 min,"$9,100,000",0,82,True,2007,"$49,000,000",tt0465538
PG,The Right Stuff,"Tom Wolfe (book), Philip Kaufman (screenplay)","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid",42917,21 Oct 1983,Won 4 Oscars. Another 7 wins & 15 nominations.,"Adventure, Drama, History",7.9,"$15,700,000","English, Russian",USA,$0,,193 min,"$5,500,000",0,N/A,True,1983,"$21,200,000",tt0086197
R,Sideways,"Rex Pickett (novel), Alexander Payne (screenplay), Jim Taylor (screenplay)","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",142434,21 Jan 2005,Won 1 Oscar. Another 117 wins & 68 nominations.,"Comedy, Drama, Romance",7.6,"$32,400,000","English, Armenian","USA, Hungary","$8,300,000",,126 min,"$30,700,000",0,94,True,2004,"$71,500,000",tt0375063
R,In the Bedroom,"Robert Festinger (screenplay), Todd Field (screenplay), Andre Dubus (story)","Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei",31274,08 Feb 2002,Nominated for 5 Oscars. Another 35 wins & 67 nominations.,"Crime, Drama",7.5,"$19,500,000","English, Serbo-Croatian",USA,"$1,700,000",,130 min,"$14,700,000",0,86,True,2001,"$35,900,000",tt0247425
PG,Tender Mercies,Horton Foote,"Robert Duvall, Tess Harper, Betty Buckley, Wilford Brimley",6912,10 Jun 1983,Won 2 Oscars. Another 7 wins & 13 nominations.,"Drama, Music",7.5,"$8,400,000",English,USA,$0,,92 min,$0,0,N/A,True,1983,"$8,400,000",tt0086423
PG,The Remains of the Day,"Kazuo Ishiguro (novel), Ruth Prawer Jhabvala (screenplay)","John Haycraft, Christopher Reeve, Anthony Hopkins, Emma Thompson",43008,19 Nov 1993,Nominated for 8 Oscars. Another 15 wins & 23 nominations.,"Drama, Romance",7.9,"$19,500,000","English, French, German","UK, USA","$1,300,000",,134 min,"$2,400,000",0,84,True,1993,"$23,200,000",tt0107943
PG,Dead Poets Society,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",257989,09 Jun 1989,Won 1 Oscar. Another 17 wins & 18 nominations.,Drama,8,"$95,900,000",English,USA,$0,,128 min,$0,0,79,True,1989,"$95,900,000",tt0097165
R,Unforgiven,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",256500,07 Aug 1992,Won 4 Oscars. Another 36 wins & 27 nominations.,Western,8.3,"$75,300,000",English,USA,"$18,300,000",,131 min,"$7,600,000",1,82,True,1992,"$101,200,000",tt0105695
R,American Sniper,"Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)","Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",269141,16 Jan 2015,Won 1 Oscar. Another 13 wins & 33 nominations.,"Action, Biography, Drama",7.3,"$3,400,000",English,USA,"$30,100,000",,133 min,"$316,600,000",0,72,True,2014,"$350,100,000",tt2179136
R,Argo,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",415780,12 Oct 2012,Won 3 Oscars. Another 83 wins & 144 nominations.,"Drama, History, Thriller",7.8,"$110,300,000","English, Persian",USA,"$6,400,000",,120 min,"$19,300,000",1,86,True,2012,"$136,000,000",tt1024648
PG-13,War Horse,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)","Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup",109157,25 Dec 2011,Nominated for 6 Oscars. Another 16 wins & 67 nominations.,"Drama, War",7.2,"$72,600,000","English, German","USA, UK","$843,000",,146 min,"$6,500,000",0,72,True,2011,"$79,900,000",tt1568911
R,American Hustle,"Eric Warren Singer, David O. Russell","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner",328990,20 Dec 2013,Nominated for 10 Oscars. Another 59 wins & 187 nominations.,"Crime, Drama",7.3,"$104,600,000","English, Arabic",USA,"$3,400,000",,138 min,"$42,100,000",0,90,True,2013,"$150,100,000",tt1800241
R,The Grand Budapest Hotel,"Stefan Zweig (inspired by the writings of), Wes Anderson (screenplay), Wes Anderson (story), Hugo Guinness (story)","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",402293,28 Mar 2014,Won 4 Oscars. Another 114 wins & 198 nominations.,"Adventure, Comedy, Drama",8.1,"$59,100,000","English, French","USA, Germany, UK",$0,,99 min,$0,0,88,True,2014,"$59,100,000",tt2278388
PG-13,Dances with Wolves,"Michael Blake (screenplay), Michael Blake (novel)","Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",174661,21 Nov 1990,Won 7 Oscars. Another 37 wins & 31 nominations.,"Adventure, Drama, Western",8,"$104,300,000","English, Sioux, Pawnee","USA, UK","$47,100,000",,181 min,"$32,700,000",1,72,True,1990,"$184,200,000",tt0099348
PG,Field of Dreams,"W.P. Kinsella (book), Phil Alden Robinson (screenplay)","Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",81610,05 May 1989,Nominated for 3 Oscars. Another 6 wins & 9 nominations.,"Drama, Family, Fantasy",7.6,"$64,400,000",English,USA,$0,,107 min,$0,0,57,True,1989,"$64,400,000",tt0097351
PG,The Accidental Tourist,"Anne Tyler (book), Frank Galati (screenplay), Lawrence Kasdan (screenplay)","William Hurt, Kathleen Turner, Geena Davis, Amy Wright",11802,06 Jan 1989,Won 1 Oscar. Another 3 wins & 10 nominations.,"Drama, Romance",6.8,"$24,200,000",English,USA,$0,,121 min,"$8,400,000",0,53,True,1988,"$32,600,000",tt0094606
PG-13,An Education,"Lynn Barber (memoir), Nick Hornby (screenplay)","Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour",106867,05 Feb 2010,Nominated for 3 Oscars. Another 34 wins & 85 nominations.,Drama,7.3,"$8,800,000","English, French","UK, USA","$533,000",,100 min,"$3,200,000",0,85,True,2009,"$12,600,000",tt1174732
R,The Wolf of Wall Street,"Terence Winter (screenplay), Jordan Belfort (book)","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",660792,25 Dec 2013,Nominated for 5 Oscars. Another 33 wins & 143 nominations.,"Biography, Comedy, Crime",8.2,"$81,700,000","English, French",USA,"$2,300,000",,180 min,"$32,800,000",0,75,True,2013,"$116,900,000",tt0993846
PG-13,Million Dollar Baby,"Paul Haggis (screenplay), F.X. Toole (stories)","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",440683,28 Jan 2005,Won 4 Oscars. Another 59 wins & 69 nominations.,"Drama, Sport",8.1,"$8,500,000","English, Irish",USA,"$35,600,000",,132 min,"$56,400,000",1,86,True,2004,"$100,500,000",tt0405159
PG,Out of Africa,"Karen Blixen (based upon: ""Out of Africa"" and other writings), Judith Thurman (book), Errol Trzebinski (book), Kurt Luedtke (screenplay)","Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen",48310,20 Dec 1985,Won 7 Oscars. Another 22 wins & 28 nominations.,"Biography, Drama, Romance",7.2,"$55,600,000","English, Swahili",USA,"$15,300,000",,161 min,"$16,200,000",1,N/A,True,1985,"$87,100,000",tt0089755
R,The Green Mile,"Stephen King (novel), Frank Darabont (screenplay)","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt",702081,10 Dec 1999,Nominated for 4 Oscars. Another 13 wins & 28 nominations.,"Crime, Drama, Fantasy",8.5,"$120,600,000","English, French",USA,"$1,700,000",,189 min,"$14,400,000",0,61,True,1999,"$136,800,000",tt0120689
R,The Silence of the Lambs,"Thomas Harris (novel), Ted Tally (screenplay)","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",800970,14 Feb 1991,Won 5 Oscars. Another 48 wins & 33 nominations.,"Crime, Drama, Thriller",8.6,"$130,700,000",English,USA,$0,,118 min,$0,1,84,True,1991,"$130,700,000",tt0102926
PG-13,The Color Purple,"Alice Walker (novel), Menno Meyjes (screenplay)","Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey",57167,07 Feb 1986,Nominated for 11 Oscars. Another 13 wins & 12 nominations.,Drama,7.8,"$46,400,000",English,USA,"$16,200,000",,154 min,"$31,500,000",0,N/A,True,1985,"$94,200,000",tt0088939
PG-13,The Help,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",292349,10 Aug 2011,Won 1 Oscar. Another 74 wins & 103 nominations.,Drama,8.1,"$169,600,000",English,"USA, India, United Arab Emirates","$10,800",,146 min,"$97,400",0,62,True,2011,"$169,700,000",tt1454029
R,Gangs of New York,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent",291630,20 Dec 2002,Nominated for 10 Oscars. Another 42 wins & 89 nominations.,"Crime, Drama, History",7.5,"$70,100,000","English, Irish, Chinese, Latin","USA, Italy","$790,000",,167 min,"$6,900,000",0,72,True,2002,"$77,800,000",tt0217505
PG-13,The Hours,"Michael Cunningham (novel), David Hare (screenplay)","Meryl Streep, Julianne Moore, Nicole Kidman, Ed Harris",96908,14 Feb 2003,Won 1 Oscar. Another 38 wins & 103 nominations.,Drama,7.6,"$21,900,000",English,"USA, UK","$2,800,000",,114 min,"$17,000,000",0,81,True,2002,"$41,700,000",tt0274558
R,12 Years a Slave,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",378027,08 Nov 2013,Won 3 Oscars. Another 223 wins & 295 nominations.,"Biography, Drama, History",8.1,"$39,000,000",English,"USA, UK","$6,300,000",,134 min,"$11,300,000",1,97,True,2013,"$56,700,000",tt2024544
R,The King's Speech,David Seidler (screenplay),"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",452317,25 Dec 2010,Won 4 Oscars. Another 95 wins & 182 nominations.,"Biography, Drama",8.1,"$57,900,000",English,"UK, USA, Australia","$21,200,000",,118 min,"$56,300,000",1,88,True,2010,"$135,500,000",tt1504320
PG-13,The Sixth Sense,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",652018,06 Aug 1999,Nominated for 6 Oscars. Another 32 wins & 45 nominations.,"Drama, Mystery, Thriller",8.2,"$278,400,000","English, Latin, Spanish",USA,"$3,200,000",,107 min,"$11,900,000",0,64,True,1999,"$293,500,000",tt0167404
R,The Killing Fields,Bruce Robinson (screenplay),"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands",40318,01 Feb 1985,Won 3 Oscars. Another 24 wins & 22 nominations.,"Drama, History, War",7.9,"$11,700,000","English, French, Khmer, Russian",UK,"$6,900,000",,141 min,"$16,200,000",0,N/A,True,1984,"$34,700,000",tt0087553
R,Bugsy,"James Toback, Dean Jennings (book)","Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley",20429,20 Dec 1991,Won 2 Oscars. Another 10 wins & 30 nominations.,"Biography, Crime, Drama",6.8,"$38,900,000",English,USA,"$1,300,000",,136 min,"$8,900,000",0,N/A,True,1991,"$49,100,000",tt0101516
PG,Tootsie,"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",73364,17 Dec 1982,Won 1 Oscar. Another 23 wins & 29 nominations.,"Comedy, Romance",7.4,"$100,800,000",English,USA,"$25,200,000",,116 min,"$51,200,000",0,87,True,1982,"$177,200,000",tt0084805
R,Born on the Fourth of July,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)","Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans",72490,05 Jan 1990,Won 2 Oscars. Another 13 wins & 22 nominations.,"Biography, Drama, War",7.2,"$48,700,000","English, Spanish",USA,"$4,400,000",,145 min,"$16,900,000",0,75,True,1989,"$70,000,000",tt0096969
R,Milk,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",128963,30 Jan 2009,Won 2 Oscars. Another 53 wins & 121 nominations.,"Biography, Drama, History",7.6,"$20,700,000",English,USA,"$3,700,000",,128 min,"$7,500,000",0,84,True,2008,"$31,800,000",tt1013753
R,Witness,"William Kelley (story), Pamela Wallace (story), Earl W. Wallace (story), Earl W. Wallace (screenplay), William Kelley (screenplay)","Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas",62743,08 Feb 1985,Won 2 Oscars. Another 10 wins & 26 nominations.,"Crime, Drama, Romance",7.5,"$68,700,000","English, German",USA,$0,,112 min,$0,0,76,True,1985,"$68,700,000",tt0090329
PG-13,Ray,"Taylor Hackford (story), James L. White (story), James L. White (screenplay)","Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",102332,29 Oct 2004,Won 2 Oscars. Another 48 wins & 47 nominations.,"Biography, Drama, Music",7.8,"$73,100,000",English,USA,"$252,000",,152 min,"$2,000,000",0,73,True,2004,"$75,300,000",tt0350258
R,Up in the Air,"Walter Kirn (novel), Jason Reitman (screenplay), Sheldon Turner (screenplay)","George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",258673,23 Dec 2009,Nominated for 6 Oscars. Another 74 wins & 136 nominations.,"Drama, Romance",7.5,"$73,500,000",English,USA,"$812,000",,109 min,"$9,500,000",0,83,True,2009,"$83,800,000",tt1193138
R,Silver Linings Playbook,"David O. Russell (screenplay), Matthew Quick (novel)","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",493310,25 Dec 2012,Won 1 Oscar. Another 84 wins & 139 nominations.,"Comedy, Drama, Romance",7.8,"$35,700,000",English,USA,"$24,900,000",,122 min,"$71,400,000",0,81,True,2012,"$132,100,000",tt1045658
R,A Serious Man,"Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick",95168,06 Nov 2009,Nominated for 2 Oscars. Another 16 wins & 60 nominations.,"Comedy, Drama",7,"$9,200,000","English, Yiddish, Hebrew","USA, UK, France",$0,,106 min,$0,0,79,True,2009,"$9,200,000",tt1019452
PG-13,A Beautiful Mind,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",548689,04 Jan 2002,Won 4 Oscars. Another 29 wins & 61 nominations.,"Biography, Drama",8.2,"$113,700,000",English,USA,"$16,000,000",,135 min,"$41,000,000",1,72,True,2001,"$170,700,000",tt0268978
R,Slumdog Millionaire,"Simon Beaufoy (screenplay), Vikas Swarup (novel)","Dev Patel, Saurabh Shukla, Anil Kapoor, Rajendranath Zutshi",596954,25 Dec 2008,Won 8 Oscars. Another 139 wins & 105 nominations.,"Drama, Romance",8,"$44,700,000","English, Hindi, French","UK, USA","$43,000,000",,120 min,"$53,600,000",1,86,True,2008,"$141,300,000",tt1010048
R,Rain Man,"Barry Morrow (story), Ronald Bass (screenplay), Barry Morrow (screenplay)","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",365025,16 Dec 1988,Won 4 Oscars. Another 21 wins & 21 nominations.,Drama,8,"$97,000,000","English, Italian",USA,"$15,100,000",,133 min,"$60,800,000",1,65,True,1988,"$172,800,000",tt0095953
PG-13,Gravity,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",532303,04 Oct 2013,Won 7 Oscars. Another 201 wins & 159 nominations.,"Sci-Fi, Thriller",7.9,"$256,400,000","English, Greenlandic","USA, UK","$3,600,000",,91 min,"$14,100,000",0,96,True,2013,"$274,100,000",tt1454468
R,Capote,"Dan Futterman (screenplay), Gerald Clarke (book)","Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald",93155,03 Feb 2006,Won 1 Oscar. Another 56 wins & 73 nominations.,"Biography, Crime, Drama",7.4,"$15,400,000",English,"Canada, USA","$3,300,000",,114 min,"$10,100,000",0,88,True,2005,"$28,800,000",tt0379725
R,Fargo,"Ethan Coen, Joel Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",412212,05 Apr 1996,Won 2 Oscars. Another 69 wins & 51 nominations.,"Crime, Drama, Thriller",8.2,"$24,100,000",English,"USA, UK","$346,000",,98 min,"$183,000",0,85,True,1996,"$24,600,000",tt0116282
PG-13,Moneyball,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",268380,23 Sep 2011,Nominated for 6 Oscars. Another 27 wins & 70 nominations.,"Biography, Drama, Sport",7.6,"$75,500,000",English,USA,$0,,133 min,"$72,600",0,87,True,2011,"$75,600,000",tt1210166
R,My Left Foot,"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (book)","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",46683,10 Nov 1989,Won 2 Oscars. Another 20 wins & 18 nominations.,"Biography, Drama",7.9,"$2,100,000",English,"Ireland, UK","$5,900,000",,103 min,"$6,800,000",0,N/A,True,1989,"$14,700,000",tt0097937
R,Brokeback Mountain,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",245925,13 Jan 2006,Won 3 Oscars. Another 119 wins & 106 nominations.,"Drama, Romance",7.7,"$51,700,000",English,"USA, Canada","$4,200,000",,134 min,"$27,200,000",0,87,True,2005,"$83,000,000",tt0388795
G,Babe,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",89243,04 Aug 1995,Won 1 Oscar. Another 18 wins & 21 nominations.,"Comedy, Drama, Family",6.8,"$58,200,000",English,"Australia, USA","$865,000",,91 min,"$4,600,000",0,83,True,1995,"$63,700,000",tt0112431
R,Elizabeth,Michael Hirst,"Cate Blanchett, Geoffrey Rush, Christopher Eccleston, Joseph Fiennes",72299,19 Feb 1999,Won 1 Oscar. Another 33 wins & 51 nominations.,"Biography, Drama, History",7.5,"$21,400,000","English, French","UK, USA","$2,200,000",,124 min,"$6,500,000",0,75,True,1998,"$30,100,000",tt0127536
R,The Insider,"Marie Brenner (article), Eric Roth, Michael Mann","Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora",127381,05 Nov 1999,Nominated for 7 Oscars. Another 22 wins & 48 nominations.,"Biography, Drama, Thriller",7.9,"$26,600,000","English, Japanese, Arabic, Persian",USA,"$609,000",,157 min,"$1,900,000",0,84,True,1999,"$29,100,000",tt0140352
