Rated,Title,Writer,Actors,imdbVotes,Released,Awards,Genre,imdbRating,PreNomination,Language,Country,PostAwards,Error,Runtime,PostNomination,Win,Metascore,Response,Year,Total,imdbID
R,The Descendants,"Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)","George Clooney, Shailene Woodley, Amara Miller, Nick Krause",197094,09 Dec 2011,Won 1 Oscar. Another 64 wins & 130 nominations.,"Comedy, Drama",7.3,"$51,500,000",English,USA,"$4,100,000",,115 min,"$27,000,000",0,84,True,2011,"$82,600,000",tt1033575
PG-13,The Curious Case of Benjamin Button,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",428551,25 Dec 2008,Won 3 Oscars. Another 67 wins & 128 nominations.,"Drama, Fantasy, Romance",7.8,"$104,400,000","English, Russian, French",USA,"$3,300,000",,166 min,"$19,800,000",0,70,True,2008,"$127,500,000",tt0421715
R,The Kids Are All Right,"Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska",105902,30 Jul 2010,Nominated for 4 Oscars. Another 27 wins & 108 nominations.,"Comedy, Drama",7.1,"$20,800,000",English,USA,$0,,106 min,$0,0,86,True,2010,"$20,800,000",tt0842926
R,The Big Chill,"Lawrence Kasdan, Barbara Benedek","Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt",24357,30 Sep 1983,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,"Comedy, Drama",7.2,"$52,500,000",English,USA,"$181,000",,105 min,"$3,700,000",0,62,True,1983,"$56,300,000",tt0085244
R,L.A. Confidential,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",386476,19 Sep 1997,Won 2 Oscars. Another 80 wins & 77 nominations.,"Crime, Drama, Mystery",8.3,"$39,700,000",English,USA,"$6,900,000",,138 min,"$17,900,000",0,90,True,1997,"$64,600,000",tt0119488
PG-13,Seabiscuit,"Laura Hillenbrand (book), Gary Ross (screenplay)","David McCullough, Jeff Bridges, Paul Vincent O'Connor, Chris Cooper",55664,25 Jul 2003,Nominated for 7 Oscars. Another 6 wins & 33 nominations.,"Drama, History, Sport",7.3,"$120,200,000",English,USA,$0,,140 min,"$46,300",0,72,True,2003,"$120,300,000",tt0329575
PG-13,Master and Commander: The Far Side of the World,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall",160655,14 Nov 2003,Won 2 Oscars. Another 21 wins & 72 nominations.,"Action, Adventure, Drama",7.4,"$85,300,000","English, French, Portuguese",USA,"$1,400,000",,138 min,"$7,200,000",0,81,True,2003,"$93,900,000",tt0311113
PG-13,Philomena,"Steve Coogan (screenplay), Jeff Pope (screenplay), Martin Sixsmith (book)","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",68476,27 Nov 2013,Nominated for 4 Oscars. Another 29 wins & 71 nominations.,"Biography, Drama",7.6,"$22,500,000",English,"UK, USA, France","$3,100,000",,98 min,"$12,100,000",0,76,True,2013,"$37,700,000",tt2431286
PG-13,Beasts of the Southern Wild,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes",66982,05 Jul 2012,Nominated for 4 Oscars. Another 91 wins & 119 nominations.,"Drama, Fantasy",7.3,"$11,300,000",English,USA,"$224,000",,93 min,"$1,300,000",0,86,True,2012,"$12,800,000",tt2125435
R,Working Girl,Kevin Wade,"Harrison Ford, Sigourney Weaver, Melanie Griffith, Alec Baldwin",38951,21 Dec 1988,Won 1 Oscar. Another 8 wins & 16 nominations.,"Comedy, Drama, Romance",6.7,"$42,100,000",English,USA,"$1,700,000",,113 min,"$20,000,000",0,73,True,1988,"$63,800,000",tt0096463
R,Little Miss Sunshine,Michael Arndt,"Abigail Breslin, Greg Kinnear, Paul Dano, Alan Arkin",332339,18 Aug 2006,Won 2 Oscars. Another 65 wins & 96 nominations.,"Comedy, Drama",7.9,"$59,600,000",English,USA,"$59,600",,101 min,"$237,000",0,80,True,2006,"$59,900,000",tt0449059
R,Shakespeare in Love,"Marc Norman, Tom Stoppard","Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",166464,08 Jan 1999,Won 7 Oscars. Another 55 wins & 85 nominations.,"Comedy, Drama, Romance",7.2,"$36,500,000",English,USA,"$27,100,000",,123 min,"$36,600,000",1,87,True,1998,"$100,300,000",tt0138097
R,Scent of a Woman,"Giovanni Arpino (novel), Bo Goldman (screenplay), Ruggero Maccari (character from Profumo Di Donna), Dino Risi (character from Profumo Di Donna)","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar",183208,08 Jan 1993,Won 1 Oscar. Another 5 wins & 10 nominations.,Drama,8,"$34,100,000",English,USA,"$10,400,000",,156 min,"$18,500,000",0,59,True,1992,"$63,100,000",tt0105323
PG-13,Amour,Michael Haneke (screenplay),"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud",65649,20 Sep 2012,Won 1 Oscar. Another 75 wins & 95 nominations.,"Drama, Romance",7.9,"$371,000","French, English","France, Germany, Austria","$1,600,000",,127 min,"$4,800,000",0,94,True,2012,"$6,700,000",tt1602620
R,Zero Dark Thirty,Mark Boal,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler",204200,11 Jan 2013,Won 1 Oscar. Another 83 wins & 156 nominations.,"Drama, History, Thriller",7.4,"$5,200,000","English, Arabic",USA,"$4,200,000",,157 min,"$86,300,000",0,95,True,2012,"$95,700,000",tt1790885
PG-13,The Imitation Game,"Graham Moore, Andrew Hodges (book)","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",366245,25 Dec 2014,Won 1 Oscar. Another 43 wins & 138 nominations.,"Biography, Drama, Thriller",8.1,"$42,800,000","English, German","UK, USA","$7,200,000",,114 min,"$41,100,000",0,73,True,2014,"$91,100,000",tt2084970
PG-13,Chicago,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",162325,24 Jan 2003,Won 6 Oscars. Another 45 wins & 98 nominations.,"Comedy, Crime, Musical",7.2,"$64,600,000","English, Hungarian","USA, Germany, Canada","$36,700,000",,113 min,"$69,400,000",1,82,True,2002,"$170,700,000",tt0299658
PG-13,Moulin Rouge!,"Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",213540,01 Jun 2001,Won 2 Oscars. Another 79 wins & 118 nominations.,"Drama, Musical, Romance",7.7,"$57,100,000","English, French, Spanish","USA, Australia","$39,900",,127 min,"$212,000",0,66,True,2001,"$57,400,000",tt0203009
R,Babel,"Guillermo Arriaga, Guillermo Arriaga (idea), Alejandro González Iñárritu (idea)","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight",230802,10 Nov 2006,Won 1 Oscar. Another 40 wins & 114 nominations.,Drama,7.5,"$23,800,000","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language","France, USA, Mexico","$497,000",,143 min,"$10,000,000",0,69,True,2006,"$34,300,000",tt0449467
R,Black Swan,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",515022,17 Dec 2010,Won 1 Oscar. Another 86 wins & 229 nominations.,"Drama, Thriller",8,"$83,700,000","English, French, Italian",USA,"$3,400,000",,108 min,"$19,800,000",0,79,True,2010,"$107,000,000",tt0947798
PG-13,The Fugitive,"Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",201806,06 Aug 1993,Won 1 Oscar. Another 11 wins & 25 nominations.,"Action, Adventure, Crime",7.8,"$179,400,000","English, Polish, Spanish",USA,"$89,000",,130 min,"$4,400,000",0,88,True,1993,"$183,900,000",tt0106977
R,The Piano,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin",60693,11 Feb 1994,Won 3 Oscars. Another 56 wins & 41 nominations.,"Drama, Music, Romance",7.6,"$25,700,000","English, British Sign Language, Maori","New Zealand, Australia, France","$5,200,000",,121 min,"$8,500,000",0,89,True,1993,"$40,200,000",tt0107822
PG-13,True Grit,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",225055,22 Dec 2010,Nominated for 10 Oscars. Another 36 wins & 145 nominations.,"Adventure, Drama, Western",7.7,"$138,500,000",English,USA,"$4,100,000",,110 min,"$28,600,000",0,80,True,2010,"$171,200,000",tt1403865
R,Kiss of the Spider Woman,"Manuel Puig (based on the novel by), Leonard Schrader","William Hurt, Raul Julia, Sonia Braga, José Lewgoy",10173,26 Jul 1985,Won 1 Oscar. Another 10 wins & 11 nominations.,Drama,7.4,"$13,100,000","English, French, Portuguese, German","Brazil, USA","$1,900,000",,120 min,"$2,000,000",0,80,True,1985,"$17,000,000",tt0089424
R,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",780885,21 Aug 2009,Won 1 Oscar. Another 115 wins & 136 nominations.,"Adventure, Drama, War",8.3,"$120,500,000","English, German, French, Italian","USA, Germany",$0,,153 min,$0,0,69,True,2009,"$120,500,000",tt0361748
PG-13,Hope and Glory,John Boorman,"Sebastian Rice-Edwards, Geraldine Muir, Sarah Miles, David Hayman",9382,01 Nov 1987,Nominated for 5 Oscars. Another 16 wins & 24 nominations.,"Comedy, Drama, Romance",7.4,"$5,200,000",English,"UK, USA","$314,000",,113 min,"$4,500,000",0,N/A,True,1987,"$10,000,000",tt0093209
R,The Prince of Tides,"Pat Conroy (novel), Pat Conroy (screenplay), Becky Johnston (screenplay)","Nick Nolte, Barbra Streisand, Blythe Danner, Kate Nelligan",11975,25 Dec 1991,Nominated for 7 Oscars. Another 3 wins & 10 nominations.,Drama,6.6,"$59,300,000",English,USA,"$3,500,000",,132 min,"$12,000,000",0,N/A,True,1991,"$74,800,000",tt0102713
R,Missing,"Costa-Gavras (screenplay), Donald Stewart (screenplay), Thomas Hauser (based on the book: ""Missing"")","Jack Lemmon, Sissy Spacek, Melanie Mayron, John Shea",12786,12 Mar 1982,Won 1 Oscar. Another 9 wins & 17 nominations.,"Drama, History, Mystery",7.8,"$14,000,000","English, Spanish",USA,$0,,122 min,$0,0,N/A,True,1982,"$14,000,000",tt0084335
PG,Moonstruck,John Patrick Shanley,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis",33350,15 Jan 1988,Won 3 Oscars. Another 15 wins & 18 nominations.,"Comedy, Drama, Romance",7.1,"$25,400,000","English, Italian",USA,"$20,700,000",,102 min,"$34,600,000",0,83,True,1987,"$80,600,000",tt0093565
PG-13,The Blind Side,"John Lee Hancock, Michael Lewis (book)","Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",204311,20 Nov 2009,Won 1 Oscar. Another 7 wins & 28 nominations.,"Biography, Drama, Sport",7.7,"$238,100,000",English,USA,"$5,500,000",,129 min,"$12,300,000",0,53,True,2009,"$256,000,000",tt0878804
G,Beauty and the Beast,"Linda Woolverton (animation screenplay), Roger Allers (story), Brenda Chapman (story), Burny Mattinson (story), Brian Pimental (story), Joe Ranft (story), Kelly Asbury (story), Chris Sanders (story), Kevin Harkey (story), Bruce Woodside (story), Robert Lence (story)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",279159,22 Nov 1991,Won 2 Oscars. Another 22 wins & 20 nominations.,"Animation, Family, Fantasy",8,"$106,600,000","English, French",USA,"$20,300,000",,84 min,"$19,000,000",0,N/A,True,1991,"$145,900,000",tt0101414
R,Munich,"Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz",168845,06 Jan 2006,Nominated for 5 Oscars. Another 13 wins & 54 nominations.,"Drama, History, Thriller",7.6,"$40,800,000","English, German, French, Hebrew, Arabic, Italian, Greek, Russian","France, Canada, USA","$672,000",,164 min,"$6,000,000",0,74,True,2005,"$47,400,000",tt0408306
PG-13,Awakenings,"Oliver Sacks (book), Steven Zaillian (screenplay)","Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",85841,11 Jan 1991,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,"Biography, Drama",7.8,"$36,800,000",English,USA,"$4,300,000",,121 min,"$11,000,000",0,74,True,1990,"$52,100,000",tt0099077
R,Frost/Nixon,"Peter Morgan (screenplay), Peter Morgan (play)","Frank Langella, Michael Sheen, Sam Rockwell, Kevin Bacon",85752,23 Jan 2009,Nominated for 5 Oscars. Another 19 wins & 66 nominations.,"Drama, History",7.7,"$8,900,000",English,"USA, UK, France","$1,200,000",,122 min,"$8,500,000",0,80,True,2008,"$18,600,000",tt0870111
R,Amadeus,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",248261,05 Apr 1985,Won 8 Oscars. Another 33 wins & 14 nominations.,"Biography, Drama, History",8.3,"$25,700,000","English, Italian, Latin, German","USA, France","$16,800,000",,160 min,"$9,100,000",1,93,True,1984,"$51,600,000",tt0086879
R,Terms of Endearment,"Larry McMurtry (based on the novel by), James L. Brooks (screenplay)","Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito",37547,09 Dec 1983,Won 5 Oscars. Another 26 wins & 16 nominations.,"Comedy, Drama",7.4,"$72,900,000",English,USA,"$13,700,000",,132 min,"$21,800,000",1,79,True,1983,"$108,400,000",tt0086425
PG-13,Forrest Gump,"Winston Groom (novel), Eric Roth (screenplay)","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",1118949,06 Jul 1994,Won 6 Oscars. Another 36 wins & 51 nominations.,"Drama, Romance",8.8,"$300,600,000",English,USA,"$12,200,000",,142 min,"$16,900,000",1,82,True,1994,"$329,700,000",tt0109830
PG-13,Shine,"Jan Sardi (screenplay), Scott Hicks (story)","Geoffrey Rush, Justin Braine, Sonia Todd, Chris Haywood",41113,14 Feb 1997,Won 1 Oscar. Another 42 wins & 46 nominations.,"Biography, Drama, Music",7.7,"$16,100,000","English, Yiddish",Australia,"$3,400,000",,105 min,"$16,400,000",0,87,True,1996,"$35,900,000",tt0117631
R,Prizzi's Honor,"Richard Condon (novel), Richard Condon (screenplay), Janet Roach (screenplay)","Jack Nicholson, Kathleen Turner, Robert Loggia, John Randolph",17686,14 Jun 1985,Won 1 Oscar. Another 24 wins & 25 nominations.,"Comedy, Crime, Drama",6.8,"$26,700,000",English,USA,$0,,130 min,$0,0,N/A,True,1985,"$26,700,000",tt0089841
R,In the Name of the Father,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)","Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",99021,25 Feb 1994,Nominated for 7 Oscars. Another 7 wins & 18 nominations.,"Biography, Drama, History",8.1,"$6,500,000",English,"Ireland, UK, USA","$4,200,000",,133 min,"$14,400,000",0,84,True,1993,"$25,100,000",tt0107207
PG-13,Quiz Show,"Paul Attanasio (screenplay), Richard N. Goodwin (book)","John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield",51236,07 Oct 1994,Nominated for 4 Oscars. Another 5 wins & 22 nominations.,"Drama, History",7.5,"$21,900,000",English,USA,"$475,000",,133 min,"$2,400,000",0,88,True,1994,"$24,800,000",tt0110932
PG-13,Titanic,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",731869,19 Dec 1997,Won 11 Oscars. Another 106 wins & 73 nominations.,"Drama, Romance",7.7,"$338,700,000","English, French, German, Swedish, Italian, Russian",USA,"$105,200,000",,194 min,"$156,900,000",1,74,True,1997,"$600,800,000",tt0120338
PG-13,The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Alan Howard, Noel Appleby, Sean Astin, Sala Baker",1135762,19 Dec 2001,Won 4 Oscars. Another 100 wins & 110 nominations.,"Adventure, Fantasy",8.8,"$271,700,000","English, Sindarin","New Zealand, USA","$15,800,000",,178 min,"$25,900,000",0,92,True,2001,"$313,400,000",tt0120737
R,Erin Brockovich,Susannah Grant,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney",127319,17 Mar 2000,Won 1 Oscar. Another 30 wins & 56 nominations.,"Biography, Drama",7.3,"$125,600,000",English,USA,$0,,131 min,$0,0,73,True,2000,"$125,600,000",tt0195685
TV-G,Birdman,N/A,"Keith Andes, Don Messick, John Stephenson, Vic Perrin",415,09 Sep 1967,N/A,"Animation, Action, Adventure",7,"$26,600,000",English,USA,"$4,600,000",,30 min,"$11,200,000",1,N/A,True,1967–1969,"$42,300,000",tt0061237
R,The English Patient,"Michael Ondaatje (novel), Anthony Minghella (screenplay)","Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas",133234,06 Dec 1996,Won 9 Oscars. Another 48 wins & 64 nominations.,"Drama, Romance, War",7.4,"$42,300,000","English, German, Italian, Arabic","USA, UK","$15,100,000",,162 min,"$21,200,000",1,87,True,1996,"$78,700,000",tt0116209
R,Nebraska,Bob Nelson,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk",83756,24 Jan 2014,Nominated for 6 Oscars. Another 24 wins & 148 nominations.,"Adventure, Comedy, Drama",7.8,"$8,600,000","English, Spanish",USA,"$536,000",,115 min,"$8,500,000",0,86,True,2013,"$17,700,000",tt1821549
R,Mystic River,"Brian Helgeland (screenplay), Dennis Lehane (novel)","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",320690,15 Oct 2003,Won 2 Oscars. Another 51 wins & 111 nominations.,"Crime, Drama, Mystery",8,"$59,100,000",English,"USA, Australia","$7,900,000",,138 min,"$23,100,000",0,84,True,2003,"$90,100,000",tt0327056
N/A,Il postino,Cejen Cernic,N/A,N/A,N/A,N/A,"Documentary, Short",N/A,"$10,700,000",N/A,N/A,"$5,400,000",,N/A,"$5,700,000",0,N/A,True,2001,"$21,800,000",tt0345806
R,Secrets & Lies,Mike Leigh,"Timothy Spall, Phyllis Logan, Brenda Blethyn, Claire Rushbrook",27018,25 Oct 1996,Nominated for 5 Oscars. Another 33 wins & 34 nominations.,Drama,8,"$5,900,000",English,"France, UK","$1,600,000",,136 min,"$5,900,000",0,91,True,1996,"$13,400,000",tt0117589
R,Lost in Translation,Sofia Coppola,"Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe",302990,03 Oct 2003,Won 1 Oscar. Another 88 wins & 96 nominations.,Drama,7.8,"$34,800,000","English, Japanese, German, French","USA, Japan","$714,000",,101 min,"$9,000,000",0,89,True,2003,"$44,600,000",tt0335266
PG-13,The Aviator,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",243974,25 Dec 2004,Won 5 Oscars. Another 70 wins & 98 nominations.,"Biography, Drama",7.5,"$58,500,000",English,"USA, Germany","$9,000,000",,170 min,"$35,200,000",0,77,True,2004,"$102,600,000",tt0338751
PG-13,"Crouching Tiger, Hidden Dragon","Du Lu Wang (book), Hui-Ling Wang (screenplay), James Schamus (screenplay), Kuo Jung Tsai (screenplay)","Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",207131,12 Jan 2001,Won 4 Oscars. Another 94 wins & 124 nominations.,"Action, Drama, Romance",7.9,"$60,800,000",Mandarin,"Taiwan, Hong Kong, USA, China","$21,800,000",,120 min,"$45,500,000",0,93,True,2000,"$128,100,000",tt0190332
R,Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater",230584,15 Aug 2014,Won 1 Oscar. Another 163 wins & 189 nominations.,Drama,8,"$24,400,000","English, Spanish",USA,"$36,800",,165 min,"$943,000",0,100,True,2014,"$25,400,000",tt1065073
G,Toy Story 3,"John Lasseter (story), Andrew Stanton (story), Lee Unkrich (story), Michael Arndt (screenplay)","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",487755,18 Jun 2010,Won 2 Oscars. Another 56 wins & 86 nominations.,"Animation, Adventure, Comedy",8.4,"$415,000,000","English, Spanish",USA,$0,,103 min,$0,0,92,True,2010,"$415,000,000",tt0435761
R,Jerry Maguire,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston",179062,13 Dec 1996,Won 1 Oscar. Another 24 wins & 35 nominations.,"Comedy, Drama, Romance",7.3,"$121,500,000","English, American Sign Language",USA,"$10,800,000",,139 min,"$21,700,000",0,77,True,1996,"$154,000,000",tt0116695
R,The Pianist,"Ronald Harwood (screenplay), Wladyslaw Szpilman (book)","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",450820,28 Mar 2003,Won 3 Oscars. Another 50 wins & 61 nominations.,"Biography, Drama, War",8.5,"$9,200,000","English, German, Russian","France, Poland, Germany, UK","$12,400,000",,150 min,"$11,000,000",0,85,True,2002,"$32,600,000",tt0253474
R,The Departed,"William Monahan (screenplay), Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",793172,06 Oct 2006,Won 4 Oscars. Another 81 wins & 109 nominations.,"Crime, Drama, Thriller",8.5,"$121,800,000","English, Cantonese","USA, Hong Kong","$579,000",,151 min,"$10,000,000",1,86,True,2006,"$132,400,000",tt0407887
R,Goodfellas,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",667283,21 Sep 1990,Won 1 Oscar. Another 37 wins & 29 nominations.,"Biography, Crime, Drama",8.7,"$41,000,000","English, Italian",USA,"$2,900,000",,146 min,"$2,900,000",0,89,True,1990,"$46,800,000",tt0099685
PG-13,The Queen,Peter Morgan,"Helen Mirren, James Cromwell, Alex Jennings, Roger Allam",79953,17 Nov 2006,Won 1 Oscar. Another 84 wins & 82 nominations.,"Biography, Drama",7.4,"$35,900,000","English, German, French","UK, USA, France, Italy","$3,600,000",,103 min,"$17,000,000",0,91,True,2006,"$56,400,000",tt0436697
R,Dallas Buyers Club,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare",289248,22 Nov 2013,Won 3 Oscars. Another 77 wins & 71 nominations.,"Biography, Drama",8,"$16,800,000","English, Japanese",USA,"$2,000,000",,117 min,"$8,500,000",0,84,True,2013,"$27,300,000",tt0790636
PG,A Passage to India,"E.M. Forster (by), E.M. Forster (based on the novel by), Santha Rama Rau (and the play by), David Lean (screenplay)","Judy Davis, Victor Banerjee, Peggy Ashcroft, James Fox",12239,01 Feb 1985,Won 2 Oscars. Another 19 wins & 26 nominations.,"Adventure, Drama, History",7.4,"$13,500,000","English, Hindi","UK, USA","$2,300,000",,164 min,"$11,400,000",0,N/A,True,1984,"$27,200,000",tt0087892
R,A Few Good Men,"Aaron Sorkin (play), Aaron Sorkin (screenplay)","Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",171882,11 Dec 1992,Nominated for 4 Oscars. Another 9 wins & 16 nominations.,"Drama, Thriller",7.6,"$120,100,000",English,USA,"$7,000,000",,138 min,"$14,300,000",0,62,True,1992,"$141,300,000",tt0104257
